Nationality,Overall,Potential,Value,International Reputation,Age
Argentina,66,69,550000,1,26
Brazil,66,66,475000,1,30
Portugal,66,72,875000,1,22
Uruguay,66,66,425000,1,31
Croatia,66,71,750000,1,21
Colombia,66,66,325000,1,34
Italy,66,76,1000000,1,20
Portugal,66,73,900000,1,22
Italy,66,66,375000,1,32
Switzerland,66,74,825000,1,24
England,66,82,1300000,1,20
Germany,66,67,750000,1,26
Argentina,66,66,675000,1,27
Sweden,66,74,950000,1,22
England,66,73,925000,1,23
Sweden,66,73,900000,1,22
Spain,66,74,825000,1,22
Uruguay,66,76,1000000,1,21
England,66,69,825000,1,26
Belgium,66,75,750000,1,20
Germany,66,72,750000,1,22
Poland,66,66,350000,1,32
Brazil,66,66,475000,1,30
Germany,66,66,400000,1,33
France,66,80,1300000,1,20
Netherlands,66,66,650000,1,28
Germany,66,69,825000,1,23
Germany,66,66,525000,1,28
Spain,66,75,975000,1,21
Uruguay,66,66,200000,1,34
France,66,75,1000000,1,22
Italy,66,79,1200000,1,21
Chile,66,66,425000,1,31
Germany,66,79,1100000,1,20
Netherlands,66,70,700000,1,24
Poland,66,66,650000,1,27
Colombia,66,76,900000,1,21
Netherlands,66,71,850000,1,23
Argentina,66,80,1300000,1,20
Chile,66,70,700000,1,24
Poland,66,74,825000,1,20
France,66,74,725000,1,20
Brazil,66,66,675000,1,28
Poland,66,66,475000,1,30
Germany,66,67,600000,1,27
Italy,66,72,875000,1,23
Italy,66,67,625000,1,26
Colombia,66,71,725000,1,24
Argentina,66,75,975000,1,23
Switzerland,66,79,1000000,1,20
Denmark,66,66,500000,1,28
France,66,67,525000,1,25
England,66,66,625000,1,30
Italy,66,74,925000,1,22
Colombia,66,72,750000,1,24
Italy,66,78,900000,1,22
Denmark,66,71,725000,1,25
England,66,66,425000,1,31
Germany,66,66,675000,1,28
Netherlands,66,66,625000,1,29
England,66,71,875000,1,24
Colombia,66,71,850000,1,23
Netherlands,66,73,775000,1,22
Chile,66,66,475000,1,29
Germany,66,81,1400000,1,21
Spain,66,75,850000,1,22
Netherlands,66,67,775000,1,25
Brazil,66,67,750000,1,27
Poland,66,73,775000,1,22
Colombia,66,75,850000,1,23
Mexico,66,73,675000,1,22
France,66,66,40000,2,38
England,66,74,700000,1,22
Uruguay,66,71,850000,1,25
Spain,66,80,1400000,1,19
Colombia,66,70,700000,1,25
France,66,66,525000,1,32
Poland,66,73,775000,1,24
Colombia,66,76,925000,1,21
Chile,66,70,700000,1,21
Spain,66,80,1400000,1,21
Spain,66,76,1000000,1,20
Denmark,66,75,850000,1,23
Mexico,66,75,850000,1,22
Mexico,66,77,850000,1,22
Sweden,66,70,700000,1,24
Italy,66,66,525000,1,32
Germany,66,66,700000,1,26
Netherlands,66,69,675000,1,25
England,66,69,675000,1,25
France,66,72,750000,1,22
Poland,66,69,675000,1,24
France,66,70,850000,1,23
Argentina,66,77,975000,1,21
Sweden,66,81,1400000,1,19
Poland,66,66,325000,1,34
Denmark,66,66,675000,1,28
Belgium,66,75,850000,1,21
Colombia,66,66,475000,1,30
Italy,66,75,850000,1,22
Italy,66,70,575000,1,26
Spain,66,79,1200000,1,20
England,66,71,725000,1,25
Netherlands,66,71,850000,1,23
Spain,66,78,1200000,1,20
Portugal,66,82,1100000,1,18
France,66,79,1200000,1,18
Brazil,66,76,1100000,1,21
Netherlands,66,66,500000,1,29
Germany,66,66,475000,1,29
Colombia,66,67,750000,1,26
Mexico,66,66,475000,1,30
England,66,71,850000,1,24
Argentina,66,66,475000,1,30
Netherlands,66,85,1300000,1,17
Spain,66,72,750000,1,23
Germany,66,70,700000,1,25
Poland,66,67,500000,1,29
Germany,66,66,575000,1,31
Colombia,66,66,475000,1,29
Germany,66,66,475000,1,30
France,66,66,260000,1,33
Argentina,66,66,475000,1,30
Italy,66,82,1400000,1,19
England,66,66,575000,1,31
Germany,66,66,475000,1,29
Germany,66,71,725000,1,21
Spain,66,66,70000,1,36
Brazil,66,70,825000,1,23
Mexico,66,66,475000,1,29
Sweden,66,66,600000,1,30
Italy,66,84,1100000,1,18
England,66,66,375000,1,32
Italy,66,69,825000,1,26
Spain,66,72,750000,1,23
Argentina,66,69,550000,1,27
Uruguay,66,73,775000,1,24
France,66,76,925000,1,21
Switzerland,66,77,1100000,1,22
France,66,71,850000,1,22
Germany,66,66,475000,1,30
Italy,66,66,500000,1,29
Brazil,66,66,525000,1,28
Italy,66,66,425000,1,31
Sweden,66,67,750000,1,26
Italy,66,68,775000,1,25
Germany,66,66,375000,1,32
Netherlands,66,72,625000,1,25
Colombia,66,66,625000,1,29
Denmark,66,75,850000,1,22
England,66,66,600000,1,30
Spain,66,66,260000,1,34
England,66,84,1400000,1,19
Poland,66,66,300000,1,35
Italy,66,75,875000,1,21
Wales,66,67,600000,1,27
Poland,66,71,725000,1,25
Argentina,66,69,675000,1,25
Spain,66,67,725000,1,27
Portugal,66,71,850000,1,23
Germany,66,72,900000,1,24
Germany,66,66,650000,1,28
Netherlands,66,66,525000,1,28
Brazil,66,66,350000,1,34
Argentina,66,80,1400000,1,19
Germany,66,66,525000,1,28
Brazil,66,74,800000,1,23
England,66,72,650000,1,24
France,66,71,725000,1,23
Brazil,66,66,250000,1,33
Portugal,66,66,675000,1,27
England,66,75,850000,1,22
Belgium,66,74,825000,1,21
Spain,66,66,425000,1,31
Sweden,66,67,625000,1,26
Germany,66,66,550000,1,26
Switzerland,66,76,875000,1,19
Argentina,66,66,650000,1,28
Spain,66,71,875000,1,24
Brazil,66,66,700000,1,26
Italy,66,67,500000,1,29
Italy,66,68,650000,1,26
Brazil,66,66,625000,1,30
Netherlands,66,75,875000,1,21
Poland,66,66,475000,1,29
Germany,66,66,500000,1,29
Chile,66,67,625000,1,26
Brazil,66,66,350000,1,34
Germany,66,66,260000,1,34
Brazil,66,66,150000,1,35
England,66,66,350000,1,32
France,66,69,675000,1,25
Colombia,66,66,375000,1,32
Spain,66,66,475000,1,30
Germany,66,69,825000,1,24
Mexico,66,71,725000,1,25
Switzerland,66,67,725000,1,27
England,66,66,600000,1,30
Denmark,66,66,575000,1,31
France,66,66,300000,1,35
Switzerland,66,66,200000,1,34
Germany,66,71,875000,1,22
Denmark,66,78,1200000,1,20
Germany,66,67,750000,1,26
Spain,66,77,950000,1,22
Mexico,66,66,400000,1,31
Italy,66,66,625000,1,30
Brazil,66,66,325000,1,34
Portugal,66,66,200000,1,34
Germany,66,67,750000,1,26
Poland,66,69,675000,1,26
Italy,66,72,900000,1,22
Wales,66,68,625000,1,26
Germany,66,70,700000,1,25
England,66,79,1200000,1,20
Netherlands,66,74,825000,1,20
Italy,66,66,600000,1,30
Argentina,66,76,900000,1,20
Netherlands,66,66,675000,1,28
Italy,66,71,875000,1,25
Argentina,66,69,800000,1,25
England,66,66,425000,1,27
England,66,66,475000,1,29
Germany,66,66,675000,1,27
Colombia,66,75,1000000,1,23
England,66,66,475000,1,32
Sweden,66,69,675000,1,26
Mexico,66,67,625000,1,26
Argentina,66,66,500000,1,32
England,66,75,850000,1,21
England,66,66,500000,1,29
Chile,66,66,325000,1,34
Argentina,66,77,1100000,1,21
England,66,74,825000,1,22
Germany,66,71,725000,1,24
France,66,74,700000,1,22
Argentina,66,74,950000,1,22
Denmark,66,73,775000,1,25
Argentina,66,71,725000,1,24
Colombia,66,77,975000,1,22
England,66,77,1100000,1,21
Brazil,66,77,975000,1,20
Germany,66,66,260000,1,34
England,66,66,625000,1,29
Argentina,66,66,625000,1,29
Croatia,66,66,500000,1,29
Brazil,66,67,625000,1,25
England,66,74,825000,1,22
Brazil,66,66,325000,1,34
Mexico,66,66,500000,1,29
England,66,68,775000,1,26
Netherlands,66,72,750000,1,25
Germany,66,71,725000,1,23
Brazil,66,66,600000,1,30
Germany,66,66,375000,1,32
Sweden,66,67,600000,1,27
France,66,66,260000,1,33
Germany,66,69,675000,1,24
Mexico,66,72,875000,1,22
France,66,70,850000,1,25
Italy,66,66,425000,1,30
England,66,71,875000,1,24
Spain,66,67,625000,1,25
Argentina,66,69,675000,1,26
Netherlands,66,67,775000,1,26
Brazil,66,76,800000,1,20
Netherlands,66,66,40000,1,37
England,66,71,625000,1,25
Argentina,66,66,675000,1,28
Germany,66,78,925000,1,21
Netherlands,66,73,900000,1,21
Italy,66,66,475000,1,30
Sweden,66,66,500000,1,28
England,66,70,700000,1,24
Portugal,66,69,650000,1,27
Brazil,66,66,700000,1,26
Mexico,66,70,850000,1,25
Brazil,66,68,775000,1,25
Chile,66,66,350000,1,32
Wales,66,66,150000,1,35
France,66,72,875000,1,24
Mexico,66,66,375000,1,32
England,66,68,775000,1,24
Argentina,66,68,800000,1,24
England,66,66,475000,1,30
Germany,66,68,650000,1,26
England,66,72,650000,1,23
Argentina,66,83,1300000,1,18
Switzerland,66,66,180000,1,34
Denmark,66,66,260000,1,33
Netherlands,66,69,675000,1,24
Netherlands,66,71,875000,1,22
Argentina,66,75,750000,1,22
Poland,66,66,650000,1,28
France,66,79,1000000,1,20
Sweden,66,75,1000000,1,21
England,66,71,850000,1,25
England,66,66,260000,1,33
Belgium,66,70,700000,1,24
France,66,70,600000,1,25
England,66,76,925000,1,20
England,66,66,575000,1,31
Italy,66,71,875000,1,22
Spain,66,66,475000,1,30
Portugal,66,66,260000,1,33
Croatia,66,75,875000,1,21
Wales,66,66,425000,1,31
Spain,66,66,625000,1,30
England,66,75,750000,1,23
England,66,75,850000,1,21
Portugal,66,66,525000,1,27
Colombia,66,77,975000,1,21
Belgium,66,82,1200000,1,18
Argentina,66,69,825000,1,25
Italy,66,67,525000,1,28
Colombia,66,66,500000,1,28
Argentina,66,66,70000,1,36
France,66,66,525000,1,27
Colombia,66,66,40000,1,40
France,66,87,1500000,1,18
France,66,66,650000,1,29
England,66,74,700000,1,23
Germany,66,77,1100000,1,20
Chile,66,74,825000,1,20
Mexico,66,77,975000,1,20
Italy,66,66,525000,1,28
England,66,74,950000,1,22
Germany,66,72,750000,1,23
Colombia,66,66,500000,1,29
France,66,69,675000,1,25
England,66,66,230000,1,36
Italy,66,74,975000,1,21
Netherlands,66,75,1000000,1,20
Denmark,66,71,850000,1,23
Germany,66,66,260000,1,33
Germany,66,66,550000,1,27
Colombia,66,69,800000,1,25
Colombia,66,79,1100000,1,21
Mexico,66,76,1000000,1,19
Colombia,66,66,500000,1,28
England,66,66,325000,1,34
England,66,66,675000,1,27
England,66,69,825000,1,23
Germany,66,73,900000,1,23
England,66,66,425000,1,31
Portugal,66,82,1200000,1,19
Italy,66,66,425000,1,31
Denmark,66,66,575000,1,31
Brazil,66,76,925000,1,21
England,66,66,675000,1,27
Sweden,66,67,775000,1,26
Sweden,66,73,750000,1,22
Germany,66,73,925000,1,21
Brazil,66,66,700000,1,26
England,66,66,525000,1,27
France,66,70,700000,1,25
Sweden,66,66,625000,1,29
England,66,77,1100000,1,21
Germany,66,67,600000,1,27
Argentina,66,66,525000,1,28
Germany,66,68,800000,1,25
Argentina,66,76,1100000,1,20
Poland,66,66,575000,1,25
Spain,66,66,425000,1,31
Wales,66,71,725000,1,26
Germany,66,75,875000,1,21
Spain,66,66,260000,1,33
Sweden,66,70,575000,1,26
England,66,78,1000000,1,21
France,66,66,400000,2,33
Chile,66,71,625000,1,23
Spain,66,66,425000,1,31
Argentina,66,66,625000,1,30
Germany,66,70,700000,1,24
Switzerland,66,79,1300000,1,21
France,66,84,1400000,1,19
Chile,66,66,500000,1,29
Argentina,66,73,775000,1,24
Germany,66,77,1100000,1,20
Poland,66,71,725000,1,26
Argentina,66,68,625000,1,27
Poland,66,72,900000,1,21
Netherlands,66,68,650000,1,26
England,66,69,825000,1,25
Italy,66,69,775000,1,26
England,66,66,525000,1,27
Netherlands,66,72,750000,1,22
Wales,66,66,500000,1,28
France,66,67,575000,1,28
Argentina,66,67,600000,1,27
Brazil,66,70,575000,1,27
Denmark,66,68,775000,1,26
Spain,66,70,825000,1,24
Spain,66,72,650000,1,24
Spain,66,70,675000,1,25
France,66,66,500000,1,29
Brazil,66,71,725000,1,24
England,66,74,950000,1,23
Colombia,66,76,1000000,1,22
France,66,79,1200000,1,20
England,66,66,625000,1,30
Netherlands,66,66,625000,1,30
England,66,68,775000,1,25
Denmark,66,66,500000,1,29
Chile,66,66,200000,1,34
Italy,66,74,700000,1,23
Spain,66,76,1000000,1,19
Netherlands,66,66,600000,1,30
England,66,66,140000,1,35
Mexico,66,75,925000,1,18
Germany,66,76,1000000,1,21
Colombia,66,69,800000,1,25
Spain,66,73,775000,1,24
France,66,67,775000,1,25
England,66,66,650000,1,28
Germany,66,67,775000,1,25
England,66,74,950000,1,21
England,66,83,1400000,1,19
Italy,66,74,925000,1,22
England,66,66,475000,1,30
Spain,66,72,875000,1,23
England,66,72,875000,1,24
Argentina,66,80,1400000,1,20
England,66,67,625000,1,26
England,66,68,625000,1,27
Argentina,66,66,260000,1,33
Poland,66,75,850000,1,22
Brazil,66,75,1000000,1,21
Sweden,66,66,675000,1,27
England,66,66,675000,1,27
England,66,66,675000,1,27
England,66,67,750000,1,26
England,66,72,750000,1,23
Mexico,66,66,40000,1,38
Germany,66,67,600000,1,27
Spain,66,74,950000,1,22
Sweden,66,66,625000,1,30
France,66,66,260000,1,34
Spain,66,75,975000,1,19
Poland,66,66,625000,1,29
Croatia,66,66,220000,1,38
Sweden,66,66,500000,1,29
Italy,66,75,1000000,1,23
England,66,73,775000,1,23
Belgium,66,78,1100000,1,18
Denmark,66,66,375000,1,33
Belgium,66,66,475000,1,29
Spain,66,69,775000,1,26
Colombia,66,76,900000,1,21
Mexico,66,68,625000,1,26
Sweden,66,66,675000,1,27
Netherlands,66,66,280000,1,35
England,66,68,800000,1,26
Chile,66,66,650000,1,27
Germany,66,70,700000,1,24
Portugal,66,66,220000,1,36
Poland,66,66,500000,1,29
Germany,66,66,500000,1,29
Netherlands,66,72,900000,1,22
Italy,66,76,900000,1,22
Colombia,66,66,90000,1,37
Netherlands,66,70,700000,1,23
Chile,66,76,925000,1,21
Poland,66,66,150000,1,35
England,66,66,650000,1,29
Italy,66,67,500000,1,27
Germany,66,69,675000,1,25
Spain,66,74,950000,1,22
Denmark,66,69,800000,1,25
Spain,66,80,1200000,1,18
Uruguay,66,78,1200000,1,21
Spain,66,71,875000,1,25
Italy,66,71,625000,1,25
Spain,66,81,1300000,1,18
Denmark,66,67,600000,1,27
Argentina,66,76,1000000,1,21
Spain,66,77,1100000,1,22
England,66,66,650000,1,28
England,66,66,375000,1,33
Spain,66,78,875000,1,19
Colombia,66,71,850000,1,24
Chile,66,69,825000,1,24
Argentina,66,73,925000,1,23
Mexico,66,66,270000,1,35
Wales,66,73,900000,1,23
Argentina,66,74,950000,1,23
England,66,66,625000,1,29
Argentina,66,76,1100000,1,21
France,66,66,625000,1,30
England,66,75,875000,1,20
Poland,66,66,500000,1,28
Netherlands,66,70,825000,1,24
Spain,66,66,700000,1,26
Switzerland,66,66,525000,1,27
England,66,69,675000,1,25
Germany,66,68,800000,1,24
Poland,66,69,675000,1,24
Denmark,66,66,500000,1,32
Germany,66,75,875000,1,21
Brazil,66,66,675000,1,27
Argentina,66,67,625000,1,26
Spain,66,77,1100000,1,22
Colombia,66,69,800000,1,25
Spain,66,74,825000,1,21
Belgium,66,70,850000,1,24
Colombia,66,66,260000,1,33
England,66,74,950000,1,22
Germany,66,66,250000,1,33
England,66,69,825000,1,24
Germany,66,66,675000,1,27
Italy,66,71,700000,1,25
Netherlands,66,70,575000,1,26
Spain,66,74,825000,1,22
Mexico,66,78,1200000,1,21
Mexico,66,79,1100000,1,17
England,66,66,575000,1,31
Sweden,66,71,725000,1,24
Chile,66,66,500000,1,32
England,66,72,625000,1,25
Germany,66,66,425000,1,31
Switzerland,66,66,180000,1,34
England,66,78,1100000,1,19
Colombia,66,71,600000,1,26
Spain,66,73,900000,1,22
England,66,68,650000,1,26
Germany,66,67,525000,1,28
Denmark,66,74,825000,1,20
Croatia,66,74,800000,1,23
Italy,66,73,925000,1,24
Germany,66,78,1000000,1,20
Italy,66,66,625000,1,29
Sweden,66,66,650000,1,27
Germany,66,67,625000,1,26
Argentina,66,66,400000,1,33
Italy,66,84,1300000,1,18
Argentina,66,66,625000,1,29
Croatia,66,69,675000,1,26
Argentina,66,76,900000,1,21
France,66,66,150000,1,35
Chile,66,74,900000,1,19
Poland,66,69,550000,1,27
Germany,66,67,600000,1,27
France,66,66,375000,1,32
Italy,66,66,525000,1,28
Colombia,66,66,675000,1,27
Italy,66,77,950000,1,22
Germany,66,75,975000,1,21
Germany,66,66,625000,1,29
Germany,66,66,675000,1,27
Netherlands,66,75,850000,1,23
Denmark,66,74,825000,1,21
Germany,66,69,825000,1,25
Poland,66,71,875000,1,24
Italy,66,70,700000,1,24
Brazil,66,68,800000,1,26
Spain,66,76,800000,1,22
Sweden,66,66,650000,1,28
Netherlands,66,70,700000,1,24
Sweden,66,72,875000,1,21
Spain,66,79,1200000,1,21
Poland,66,70,700000,1,25
Chile,66,76,1000000,1,22
Uruguay,66,73,925000,1,24
Wales,66,66,475000,1,32
Uruguay,66,66,650000,1,27
Chile,66,80,1300000,1,21
Spain,66,69,675000,1,25
Chile,66,66,675000,1,28
Netherlands,66,72,875000,1,23
Spain,66,68,775000,1,25
Argentina,66,73,750000,1,24
France,66,72,900000,1,21
Belgium,65,69,700000,1,24
England,65,65,550000,1,28
Argentina,65,68,675000,1,25
Spain,65,75,875000,1,21
Brazil,65,65,425000,1,28
Uruguay,65,65,400000,1,32
Argentina,65,75,675000,1,22
Germany,65,86,1000000,1,18
Italy,65,73,675000,1,23
Argentina,65,74,725000,1,22
Colombia,65,67,550000,1,26
Spain,65,74,850000,1,20
Brazil,65,65,475000,1,26
Netherlands,65,71,750000,1,22
England,65,70,600000,1,22
England,65,74,825000,1,21
Netherlands,65,72,650000,1,21
Germany,65,65,575000,1,27
Germany,65,65,525000,1,29
Chile,65,74,700000,1,22
Colombia,65,74,625000,1,23
Netherlands,65,79,1000000,1,18
Belgium,65,81,1100000,1,18
Argentina,65,71,625000,1,24
England,65,74,825000,1,22
Uruguay,65,73,675000,1,22
England,65,65,475000,1,26
England,65,65,220000,1,34
Poland,65,65,550000,1,28
Colombia,65,65,575000,1,27
Germany,65,75,750000,1,23
Mexico,65,65,60000,1,36
Poland,65,70,600000,1,23
England,65,74,825000,1,20
Colombia,65,75,750000,1,22
Germany,65,77,825000,1,19
England,65,74,850000,1,21
Denmark,65,69,600000,1,25
Belgium,65,67,525000,1,26
Denmark,65,70,500000,1,26
Spain,65,70,525000,1,24
Brazil,65,81,1200000,1,19
England,65,68,700000,1,24
Italy,65,77,950000,1,21
Brazil,65,65,400000,1,30
Uruguay,65,65,425000,1,28
Germany,65,72,650000,1,24
Germany,65,65,350000,1,30
Netherlands,65,77,950000,1,19
Belgium,65,77,925000,1,19
England,65,65,300000,1,32
Colombia,65,68,550000,1,25
Wales,65,66,650000,1,24
Germany,65,65,425000,1,29
Germany,65,72,550000,1,22
Argentina,65,74,725000,1,22
Italy,65,65,500000,1,30
Germany,65,72,775000,1,23
Germany,65,68,675000,1,24
Denmark,65,65,500000,1,30
Belgium,65,67,525000,1,26
Spain,65,71,750000,1,23
Mexico,65,66,525000,1,26
Croatia,65,71,625000,1,24
Germany,65,82,1100000,1,17
Germany,65,65,350000,1,33
Argentina,65,68,550000,1,26
Chile,65,68,450000,1,27
Croatia,65,75,750000,1,22
Spain,65,75,875000,1,20
Poland,65,68,550000,1,26
England,65,66,525000,1,26
England,65,70,600000,1,24
Spain,65,65,525000,1,30
Germany,65,65,375000,1,29
Argentina,65,82,1100000,1,17
Poland,65,65,550000,1,28
Colombia,65,68,550000,1,27
Italy,65,79,1100000,1,21
Belgium,65,74,850000,1,21
Germany,65,67,650000,1,25
Poland,65,65,575000,1,26
England,65,77,950000,1,22
Germany,65,78,1100000,1,20
Switzerland,65,65,325000,1,31
Poland,65,65,475000,1,31
Sweden,65,65,300000,1,32
Germany,65,71,750000,1,24
Italy,65,79,1000000,1,19
Netherlands,65,65,210000,1,33
Netherlands,65,85,1100000,1,18
Italy,65,65,70000,1,36
England,65,65,240000,1,35
France,65,66,425000,1,29
England,65,66,525000,1,26
England,65,66,500000,1,27
Brazil,65,69,600000,1,22
Italy,65,67,650000,1,25
Argentina,65,66,425000,1,29
Germany,65,70,725000,1,25
France,65,65,70000,1,37
Colombia,65,65,220000,1,34
Denmark,65,65,400000,1,29
Colombia,65,65,220000,1,33
Spain,65,73,675000,1,21
Spain,65,79,1100000,1,20
Poland,65,72,650000,1,22
Spain,65,66,525000,1,26
Switzerland,65,66,650000,1,26
Germany,65,65,220000,1,34
Spain,65,67,500000,1,28
Sweden,65,72,650000,1,22
Croatia,65,65,400000,1,30
Spain,65,73,775000,1,23
Spain,65,73,700000,1,21
England,65,65,475000,1,31
Germany,65,72,750000,1,22
England,65,72,650000,1,21
France,65,74,825000,1,22
England,65,70,725000,1,23
Chile,65,65,550000,1,28
Netherlands,65,78,950000,1,18
England,65,65,220000,1,33
England,65,68,675000,1,25
Colombia,65,67,450000,1,28
Colombia,65,71,725000,1,24
Sweden,65,65,400000,1,30
Germany,65,72,775000,1,23
Argentina,65,75,750000,1,22
Chile,65,65,575000,1,27
Uruguay,65,72,650000,1,23
England,65,65,550000,1,27
France,65,78,1000000,1,19
England,65,65,350000,1,30
Denmark,65,68,550000,1,26
Germany,65,73,675000,1,22
France,65,76,825000,1,20
Germany,65,69,600000,1,23
Spain,65,69,575000,1,26
Brazil,65,76,825000,1,21
Germany,65,65,300000,1,32
Mexico,65,65,450000,1,28
Brazil,65,65,475000,1,26
England,65,79,1200000,1,21
Colombia,65,75,850000,1,22
Spain,65,65,575000,1,27
Spain,65,70,600000,1,23
Chile,65,65,220000,1,34
Argentina,65,80,1200000,1,20
Sweden,65,65,475000,1,31
Brazil,65,65,325000,1,33
England,65,66,650000,1,26
Chile,65,65,350000,1,31
Chile,65,78,1100000,1,20
Poland,65,65,130000,1,35
England,65,70,725000,1,23
England,65,70,525000,1,25
Netherlands,65,65,550000,1,28
England,65,72,775000,1,23
Colombia,65,65,575000,1,26
England,65,76,950000,1,20
Chile,65,67,525000,1,27
Chile,65,78,1000000,1,19
Switzerland,65,65,550000,1,28
Wales,65,65,425000,1,32
Argentina,65,75,750000,1,20
England,65,65,575000,1,27
Spain,65,67,550000,1,25
Germany,65,67,675000,1,25
Colombia,65,65,130000,1,35
Germany,65,73,800000,1,22
Italy,65,71,550000,1,22
Netherlands,65,65,450000,1,27
Germany,65,65,575000,1,27
Netherlands,65,72,650000,1,20
France,65,81,1000000,1,18
Italy,65,74,850000,1,21
Germany,65,73,675000,1,21
France,65,65,425000,1,32
Italy,65,67,650000,1,25
Mexico,65,73,675000,1,23
England,65,65,575000,1,26
Mexico,65,75,875000,1,20
Argentina,65,83,1100000,1,18
Sweden,65,69,600000,1,25
England,65,70,725000,1,23
Spain,65,71,725000,1,24
Argentina,65,71,750000,1,23
Germany,65,71,750000,1,23
England,65,69,700000,1,24
Mexico,65,66,425000,1,27
England,65,68,475000,1,26
Colombia,65,65,70000,1,38
France,65,70,600000,1,23
Sweden,65,65,525000,1,28
France,65,73,775000,1,23
Argentina,65,66,500000,1,27
Italy,65,65,550000,1,28
Brazil,65,65,400000,1,30
Spain,65,72,750000,1,22
Spain,65,72,750000,1,23
Belgium,65,77,975000,1,20
France,65,70,525000,1,23
Spain,65,75,875000,1,21
Spain,65,75,775000,1,21
Brazil,65,71,625000,1,22
Poland,65,65,425000,1,29
France,65,69,500000,1,24
Denmark,65,71,750000,1,23
Portugal,65,71,750000,1,23
Colombia,65,65,425000,1,29
Germany,65,70,525000,1,25
Poland,65,65,325000,2,33
Italy,65,65,425000,1,28
Germany,65,65,425000,1,28
Colombia,65,72,650000,1,22
Germany,65,65,550000,1,28
Germany,65,70,725000,1,22
Chile,65,66,625000,1,26
England,65,74,700000,1,22
France,65,75,775000,1,20
Sweden,65,65,575000,1,26
Colombia,65,68,675000,1,24
Germany,65,69,600000,1,24
Sweden,65,68,675000,1,25
Chile,65,65,210000,1,33
Chile,65,68,675000,1,24
Germany,65,65,425000,1,32
Argentina,65,67,450000,1,29
Portugal,65,80,950000,1,19
Germany,65,66,625000,1,26
England,65,65,375000,1,29
Germany,65,66,650000,1,26
Mexico,65,75,850000,1,19
Sweden,65,65,220000,1,33
France,65,70,625000,1,23
Switzerland,65,77,850000,1,22
Poland,65,68,675000,1,24
Germany,65,73,800000,1,21
Argentina,65,75,875000,1,22
Mexico,65,65,350000,1,31
Chile,65,68,550000,1,25
England,65,74,700000,1,22
Sweden,65,65,550000,1,28
France,65,77,825000,1,19
England,65,68,700000,1,24
Chile,65,65,400000,1,32
Argentina,65,69,600000,1,25
Denmark,65,79,1100000,1,17
Brazil,65,65,575000,1,27
England,65,65,525000,1,29
Italy,65,71,725000,1,23
Argentina,65,75,775000,1,21
Germany,65,65,575000,1,27
Spain,65,79,1100000,1,21
Spain,65,71,725000,1,23
Mexico,65,65,475000,1,31
Italy,65,72,750000,1,24
Poland,65,69,600000,1,24
England,65,74,825000,1,22
England,65,65,350000,1,31
Germany,65,65,450000,1,28
Spain,65,68,550000,1,26
Colombia,65,66,650000,1,25
Netherlands,65,68,575000,1,25
Brazil,65,69,575000,1,26
England,65,68,675000,1,25
Portugal,65,67,550000,1,25
Spain,65,71,625000,1,22
England,65,65,350000,1,31
France,65,79,950000,1,19
England,65,69,600000,1,24
Uruguay,65,65,575000,1,27
Chile,65,76,950000,1,21
Brazil,65,75,875000,1,21
Germany,65,66,525000,1,26
Uruguay,65,67,650000,1,26
Spain,65,75,775000,1,20
England,65,77,950000,1,20
France,65,74,700000,1,22
Colombia,65,66,500000,1,27
Brazil,65,75,775000,1,20
Brazil,65,65,525000,1,30
Argentina,65,65,425000,1,32
Germany,65,67,550000,1,25
Netherlands,65,66,625000,1,27
Spain,65,76,925000,1,20
Spain,65,71,750000,1,23
Spain,65,68,550000,1,26
England,65,73,800000,1,22
Netherlands,65,73,675000,1,21
France,65,66,525000,1,25
France,65,69,575000,1,24
Belgium,65,76,925000,1,20
Argentina,65,70,725000,1,25
Germany,65,74,725000,1,21
Colombia,65,72,650000,1,25
Argentina,65,74,700000,1,22
England,65,65,475000,1,26
Switzerland,65,71,750000,1,24
Germany,65,72,750000,1,23
Brazil,65,71,750000,1,23
Poland,65,65,425000,1,32
Italy,65,65,400000,1,30
Mexico,65,73,675000,1,22
Argentina,65,77,850000,1,21
Belgium,65,81,1100000,1,18
England,65,66,650000,1,26
France,65,71,550000,1,23
Spain,65,78,1100000,1,20
Poland,65,65,450000,1,27
France,65,68,575000,1,24
Argentina,65,65,575000,1,26
Spain,65,75,875000,1,22
France,65,71,750000,1,24
Portugal,65,77,775000,1,21
England,65,76,825000,1,22
Argentina,65,71,525000,1,25
Brazil,65,72,650000,1,23
Argentina,65,70,725000,1,24
England,65,72,650000,1,20
Argentina,65,65,475000,1,31
England,65,75,675000,1,22
England,65,80,1200000,1,19
England,65,68,575000,1,25
Mexico,65,65,375000,1,31
England,65,75,875000,1,21
Argentina,65,65,550000,1,28
Colombia,65,65,400000,1,30
Germany,65,67,550000,1,25
Chile,65,66,500000,1,27
England,65,78,1100000,1,20
Germany,65,69,700000,1,24
Chile,65,65,425000,1,29
Colombia,65,65,525000,1,29
Italy,65,79,1200000,1,20
Portugal,65,68,550000,1,26
Netherlands,65,65,450000,1,28
Denmark,65,65,400000,1,30
England,65,72,650000,1,25
England,65,65,270000,1,33
Argentina,65,65,40000,1,39
Italy,65,65,270000,1,33
Spain,65,68,675000,1,25
Netherlands,65,74,700000,1,19
Spain,65,65,450000,1,28
Sweden,65,75,875000,1,20
Wales,65,65,450000,1,27
Argentina,65,67,525000,1,27
